brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date,city_state
53771.0,sold,495000.0,5.0,2.0,0.21,615229.0,Olympia,Washington,98501.0,2700.0,2021-11-12,"Olympia, WA"
23066.0,sold,595000.0,2.0,2.0,0.66,563454.0,New York City,New York,10021.0,,2021-12-14,"New York City, NY"
78810.0,sold,1799900.0,6.0,9.0,7.1,277920.0,West Chester,Pennsylvania,19382.0,8348.0,2021-12-20,"West Chester, PA"
53543.0,sold,300000.0,3.0,3.0,0.05,661170.0,Indian Trail,North Carolina,28079.0,1849.0,2021-12-21,"Indian Trail, NC"
78903.0,sold,500000.0,4.0,3.0,0.33,267674.0,Lancaster,Pennsylvania,17603.0,2504.0,2022-02-24,"Lancaster, PA"
16829.0,sold,485000.0,1.0,1.0,,1164594.0,San Diego,California,92104.0,525.0,2022-05-03,"San Diego, CA"
16150.0,sold,180000.0,3.0,2.0,0.16,1701594.0,Aztec,New Mexico,87410.0,1388.0,2021-12-22,"Aztec, NM"
37056.0,sold,489900.0,3.0,2.0,,365181.0,Chicago,Illinois,60657.0,1500.0,2022-04-08,"Chicago, IL"
3206.0,sold,850000.0,2.0,2.0,,1674339.0,Miami,Florida,33131.0,1303.0,2022-02-23,"Miami, FL"
107460.0,sold,948500.0,4.0,3.0,0.1,689476.0,Chino Hills,California,91709.0,2254.0,2022-04-21,"Chino Hills, CA"
56675.0,sold,215000.0,4.0,3.0,0.22,778692.0,Liberal,Kansas,67901.0,2706.0,2021-11-16,"Liberal, KS"
29034.0,sold,1650000.0,4.0,5.0,0.17,1458107.0,Houston,Texas,77007.0,4236.0,2022-04-08,"Houston, TX"
53465.0,sold,487500.0,2.0,3.0,0.13,1457603.0,Flower Mound,Texas,75028.0,2181.0,2021-11-19,"Flower Mound, TX"
10310.0,sold,319900.0,3.0,2.0,0.22,1221646.0,Gulf Breeze,Florida,32563.0,1719.0,2021-12-31,"Gulf Breeze, FL"
15623.0,sold,77950.0,2.0,2.0,0.05,1442251.0,Simi Valley,California,93063.0,720.0,2022-04-15,"Simi Valley, CA"
22611.0,sold,93750.0,5.0,2.0,0.06,1587039.0,Chicago,Illinois,60619.0,2224.0,2022-03-25,"Chicago, IL"
104834.0,sold,317000.0,2.0,3.0,,1523565.0,West Palm Beach,Florida,33409.0,1236.0,2022-04-15,"West Palm Beach, FL"
35637.0,sold,145000.0,2.0,2.0,0.06,899010.0,Gainesville,Florida,32608.0,1025.0,2022-02-10,"Gainesville, FL"
79086.0,sold,438000.0,3.0,2.0,0.12,981859.0,Newtown,Pennsylvania,18940.0,1360.0,2022-03-22,"Newtown, PA"
68334.0,sold,107000.0,2.0,2.0,,348750.0,Florence,South Carolina,29501.0,,2022-04-08,"Florence, SC"
22611.0,sold,360000.0,4.0,3.0,0.42,826501.0,York,Pennsylvania,17404.0,3128.0,2022-01-28,"York, PA"
70677.0,sold,230000.0,3.0,3.0,0.38,1112397.0,Zephyrhills,Florida,33542.0,1502.0,2022-03-25,"Zephyrhills, FL"
16829.0,sold,400000.0,3.0,2.0,0.18,1616540.0,Arlington Heights,Illinois,60004.0,1228.0,2022-03-15,"Arlington Heights, IL"
36600.0,sold,309700.0,3.0,3.0,0.35,1332179.0,Winston Salem,North Carolina,27106.0,,2022-04-19,"Winston Salem, NC"
105412.0,sold,259000.0,3.0,2.0,1.34,1184349.0,Satsuma,Florida,32189.0,1470.0,2022-04-26,"Satsuma, FL"
23958.0,sold,198000.0,2.0,2.0,,1286099.0,Baltimore,Maryland,21236.0,920.0,2021-12-14,"Baltimore, MD"
16829.0,sold,1475000.0,3.0,3.0,0.08,792029.0,Dana Point,California,92629.0,2421.0,2022-02-26,"Dana Point, CA"
16829.0,sold,499900.0,2.0,4.0,,643560.0,Silver Spring,Maryland,20910.0,1680.0,2021-12-29,"Silver Spring, MD"
59839.0,sold,249000.0,,,0.72,451100.0,Auburn,California,95603.0,,2022-04-15,"Auburn, CA"
22611.0,sold,69900.0,,,9.09,1873282.0,Mason,Wisconsin,54856.0,,2022-03-24,"Mason, WI"
16829.0,sold,759000.0,3.0,2.0,0.18,1078087.0,Inglewood,California,90303.0,1381.0,2021-12-30,"Inglewood, CA"
6909.0,sold,865000.0,5.0,5.0,1.19,1279993.0,Kennesaw,Georgia,30152.0,5923.0,2022-03-29,"Kennesaw, GA"
70650.0,sold,350000.0,3.0,2.0,1.0,1067697.0,Tucker,Georgia,30084.0,2213.0,2022-03-09,"Tucker, GA"
60022.0,sold,324900.0,4.0,,,1789197.0,Hartford,Wisconsin,53027.0,,2021-11-30,"Hartford, WI"
74796.0,sold,124900.0,3.0,1.0,0.17,1171354.0,Rockford,Illinois,61107.0,1432.0,2022-01-21,"Rockford, IL"
59843.0,sold,1100000.0,3.0,3.0,1.0,1016739.0,Shingle Springs,California,95682.0,3057.0,2022-03-14,"Shingle Springs, CA"
87946.0,sold,385000.0,5.0,2.0,0.23,1125982.0,Woodbridge,Virginia,22193.0,2020.0,2022-03-01,"Woodbridge, VA"
16829.0,sold,2245000.0,4.0,4.0,0.47,1138641.0,Rancho Palos Verdes,California,90275.0,2958.0,2022-01-11,"Rancho Palos Verdes, CA"
104454.0,sold,411000.0,3.0,2.0,0.11,1114416.0,Chandler,Arizona,85226.0,1264.0,2021-12-29,"Chandler, AZ"
24186.0,sold,509000.0,3.0,2.0,,319875.0,San Diego,California,92129.0,1215.0,2022-01-24,"San Diego, CA"
5061.0,sold,399900.0,4.0,4.0,1.1,338079.0,Cookeville,Tennessee,38506.0,3354.0,2021-12-22,"Cookeville, TN"
11830.0,sold,227500.0,3.0,2.0,0.37,638572.0,Easley,South Carolina,29640.0,,2021-11-05,"Easley, SC"
22932.0,sold,499000.0,3.0,3.0,2.65,379069.0,Bixby,Oklahoma,74008.0,2869.0,2021-12-17,"Bixby, OK"
85714.0,sold,475000.0,3.0,2.0,3.24,585880.0,Shelton,Washington,98584.0,2139.0,2022-04-07,"Shelton, WA"
8532.0,sold,550000.0,4.0,4.0,1.36,355683.0,Wentzville,Missouri,63385.0,2711.0,2022-01-28,"Wentzville, MO"
31350.0,sold,539900.0,4.0,4.0,0.54,207764.0,Apple Valley,Minnesota,55124.0,3308.0,2022-03-18,"Apple Valley, MN"
51574.0,sold,1678000.0,4.0,2.0,0.17,1228333.0,Pleasanton,California,94588.0,1927.0,2022-03-04,"Pleasanton, CA"
109939.0,sold,559950.0,4.0,2.0,0.22,1290253.0,Auburn,Washington,98001.0,2050.0,2022-02-25,"Auburn, WA"
